freq(GHz)  ch1  ch2  ch3  ch4  ch5  ch6  ch7  ch8 
     10.0909090     -0.1544552     -0.0040062      0.0000000      0.0000000      0.5194134      0.8862404     -0.2381254     -0.0912707
     10.1028967     -0.1626183      0.0068200      0.0000000      0.0000000      0.5225688      0.9473168     -0.2153006     -0.0541223
     10.1148853     -0.1624005      0.0068109      0.0000000      0.0000000      0.5218689      0.9460482     -0.2150123     -0.0540499
     10.1268730     -0.1651708      0.0054932      0.0000000      0.0000000      0.5162608      0.9358817     -0.2182093     -0.0562859
     10.1388607     -0.1649340      0.0054853      0.0000000      0.0000000      0.5155205      0.9345396     -0.2178966     -0.0562053
     10.1508493     -0.1646902      0.0054773      0.0000000      0.0000000      0.5147586      0.9331585     -0.2175744     -0.0561221
     10.1628370     -0.1517529      0.0095642      0.0000000      0.0000000      0.4906819      0.9225528     -0.2119973     -0.0588161
     10.1748257     -0.1515059      0.0095487      0.0000000      0.0000000      0.4898830      0.9210509     -0.2116522     -0.0587203
     10.1868134     -0.1584464      0.0053659      0.0000000      0.0000000      0.4670494      0.8781204     -0.2194154     -0.0653554
     10.1988010     -0.1581791      0.0053569      0.0000000      0.0000000      0.4662617      0.8766393     -0.2190453     -0.0652452
     10.2107887     -0.1579162      0.0053480      0.0000000      0.0000000      0.4654865      0.8751819     -0.2186811     -0.0651367
     10.2227774     -0.1386553      0.0104843      0.0000000      0.0000000      0.4933789      0.8940979     -0.1993657     -0.0632071
     10.2347651     -0.1384413      0.0104681      0.0000000      0.0000000      0.4926171      0.8927174     -0.1990580     -0.0631095
     10.2467537     -0.1563687      0.0004995      0.0000000      0.0000000      0.4424576      0.8018187     -0.2201002     -0.0801891
     10.2587414     -0.1561499      0.0004988      0.0000000      0.0000000      0.4418384      0.8006966     -0.2197922     -0.0800769
     10.2707291     -0.1559027      0.0004980      0.0000000      0.0000000      0.4411387      0.7994285     -0.2194443     -0.0799501
     10.2827168     -0.1962187     -0.0102738      0.0000000      0.0000000      0.4623495      0.7947596     -0.2541981     -0.0987845
     10.2947054     -0.1959174     -0.0102580      0.0000000      0.0000000      0.4616393      0.7935389     -0.2538077     -0.0986328
     10.3066931     -0.1797765     -0.0039371      0.0000000      0.0000000      0.4815705      0.8277997     -0.2347379     -0.0858740
     10.3186817     -0.1795198     -0.0039315      0.0000000      0.0000000      0.4808828      0.8266176     -0.2344027     -0.0857514
     10.3306694     -0.1792700     -0.0039260      0.0000000      0.0000000      0.4802138      0.8254676     -0.2340766     -0.0856321
     10.3426571     -0.1547466      0.0045632      0.0000000      0.0000000      0.4986990      0.8572431     -0.2047286     -0.0671901
     10.3546457     -0.1557430     -0.0004223      0.0000000      0.0000000      0.4484758      0.8470840     -0.2091555     -0.0605730
     10.3666334     -0.1785517     -0.0101834      0.0000000      0.0000000      0.4188751      0.7911740     -0.2359952     -0.0780422
     10.3786211     -0.1830675     -0.0099091      0.0000000      0.0000000      0.4346938      0.8210526     -0.2421718     -0.0795445
     10.3906097     -0.1827697     -0.0098930      0.0000000      0.0000000      0.4339867      0.8197169     -0.2417778     -0.0794151
     10.4025974     -0.1752476      0.0058958      0.0000000      0.0000000      0.5672252      1.0713786     -0.2378394     -0.0625111
     10.4145851     -0.1702796      0.0251883      0.0000000      0.0000000      0.5692077      1.0813268     -0.2323450     -0.0473344
     10.4265738     -0.1864699      0.0080537      0.0000000      0.0000000      0.4462005      0.8476493     -0.2477569     -0.0689736
     10.4385614     -0.1861494      0.0080399      0.0000000      0.0000000      0.4454336      0.8461926     -0.2473312     -0.0688551
     10.4505491     -0.1858282      0.0080260      0.0000000      0.0000000      0.4446650      0.8447324     -0.2469044     -0.0687363
     10.4625378     -0.1759867      0.0134918      0.0000000      0.0000000      0.4745443      0.9014942     -0.2358430     -0.0599263
     10.4745255     -0.1687652      0.0135826      0.0000000      0.0000000      0.4859273      0.8995419     -0.2343354     -0.0814019
     10.4865131     -0.1712537      0.0117396      0.0000000      0.0000000      0.4740176      0.8774949     -0.2370557     -0.0841562
     10.4985018     -0.1709508      0.0117189      0.0000000      0.0000000      0.4731792      0.8759428     -0.2366364     -0.0840073
     10.5104895     -0.1706553      0.0116986      0.0000000      0.0000000      0.4723613      0.8744287     -0.2362274     -0.0838621
     10.5224771     -0.1446227      0.0133160      0.0000000      0.0000000      0.4320642      0.7998313     -0.2014159     -0.0684820
     10.5344658     -0.1490902      0.0070571      0.0000000      0.0000000      0.4118336      0.7963771     -0.2036124     -0.0602179
     10.5464535     -0.1720607      0.0026064      0.0000000      0.0000000      0.4246711      0.8212014     -0.2328877     -0.0740817
     10.5584412     -0.1718086      0.0026027      0.0000000      0.0000000      0.4240491      0.8199987     -0.2325465     -0.0739732
     10.5704298     -0.1715668      0.0025990      0.0000000      0.0000000      0.4234522      0.8188444     -0.2322192     -0.0738691
     10.5824175     -0.1662596      0.0091759      0.0000000      0.0000000      0.4711989      0.9111737     -0.2275549     -0.0660710
     10.5944052     -0.1796898      0.0071893      0.0000000      0.0000000      0.4879213      0.9039123     -0.2266252     -0.0742482
     10.6063938     -0.1791245      0.0090785      0.0000000      0.0000000      0.5043916      0.9344249     -0.2264234     -0.0723974
     10.6183815     -0.1788867      0.0090665      0.0000000      0.0000000      0.5037220      0.9331844     -0.2261228     -0.0723013
     10.6303692     -0.1780734      0.0093565      0.0000000      0.0000000      0.5045518      0.9347215     -0.2251833     -0.0716924
     10.6423578     -0.1755226      0.0036632      0.0000000      0.0000000      0.4449675      0.8243371     -0.2204714     -0.0753680
     10.6543455     -0.1752809      0.0036582      0.0000000      0.0000000      0.4443551      0.8232026     -0.2201679     -0.0752643
     10.6663342     -0.1743513      0.0108573      0.0000000      0.0000000      0.4479491      0.8303367     -0.2253825     -0.0741630
     10.6783218     -0.1740894      0.0108411      0.0000000      0.0000000      0.4472765      0.8290901     -0.2250440     -0.0740516
